date,location,secchi
3/13/18,E,3.9
3/13/18,Q,3.75
4/9/18,B,2.7
4/9/18,E,2.7
4/9/18,F,2.7
4/9/18,P,2.8
4/9/18,R,2.6
4/25/18,B,2.3
4/25/18,E,2.3
4/25/18,F,2.4
4/25/18,P,2.2
4/25/18,R,2.7
5/10/18,B,4.4
5/10/18,E,3.9
5/10/18,F,4.45
5/10/18,P,3.4
5/10/18,R,3.6
5/25/18,B,5.4
5/25/18,E,4.7
5/25/18,F,5.8
5/25/18,P,4.4
5/25/18,R,4.7
6/12/18,A,3.3
6/12/18,B,3.4
6/12/18,C,3.68
6/12/18,D,3.35
6/12/18,E,3.38
6/12/18,F,3.3
6/12/18,G,3.4
6/12/18,H,3.4
6/12/18,I,3.4
6/13/18,J,3.1
6/13/18,K,3.48
6/13/18,M,3.55
6/13/18,O,3.2
6/13/18,P,3.2
6/13/18,Q,3.35
6/13/18,R,3.55
6/30/18,B,3.8
6/30/18,E,3.8
6/30/18,F,3.8
6/30/18,P,3.8
6/30/18,R,3
7/30/18,B,3.8
7/30/18,E,3.8
7/30/18,F,3.7
7/30/18,P,3.8
7/30/18,R,3
8/13/18,B,2.5
8/13/18,E,2.7
8/13/18,F,2.6
8/13/18,P,3
8/13/18,R,3
8/30/18,B,4
8/30/18,E,3.55
8/30/18,F,4
8/30/18,P,4
8/30/18,R,3.5
9/14/18,B,4.5
9/14/18,E,3.5
9/14/18,F,4.5
9/14/18,P,3.5
9/14/18,R,3.25
10/1/18,B,3
10/1/18,E,2.5
10/1/18,F,3.25
10/1/18,P,3.25
10/1/18,R,2.5
10/19/18,B,5.5
10/19/18,E,5
10/19/18,F,5.5
10/19/18,P,5
10/19/18,R,2.75
11/2/18,B,4.5
11/2/18,E,2
11/2/18,P,4
11/2/18,R,4.5
12/4/18,B,4.7
12/4/18,E,5.6
12/4/18,F,4.7
12/4/18,P,6.1
12/4/18,R,5.5
12/19/18,B,3.6
12/19/18,E,3.5
12/19/18,F,6
12/19/18,P,4.5
12/19/18,R,5.5
1/4/19,B,5.5
1/4/19,E,5.3
1/4/19,F,5
1/4/19,P,5
1/4/19,R,3.5
1/7/19,A,1.5
1/7/19,B,4.5
1/7/19,C,4.5
1/7/19,D,5
1/7/19,E,4.8
1/7/19,F,4.3
1/7/19,G,5
1/7/19,H,4.6
1/7/19,I,4
1/9/19,J,4.5
1/9/19,K,4.5
1/9/19,M,4.5
1/9/19,N,5
1/9/19,O,4.5
1/9/19,P,4.5
1/9/19,Q,4.5
1/9/19,R,5
1/22/19,B,4
1/22/19,E,4
1/22/19,F,4.25
1/22/19,P,4.2
1/22/19,R,5
2/6/19,B,5
2/6/19,E,4.25
2/6/19,F,5
2/6/19,P,5
2/6/19,R,5.5
3/11/19,B,3.5
3/11/19,E,3.5
3/11/19,F,4.1
3/11/19,P,4.25
3/26/19,B,2.8
3/26/19,E,3
3/26/19,F,3
3/26/19,P,3
3/26/19,R,3
4/11/19,B,4
4/11/19,E,5
4/11/19,F,2.4
4/11/19,P,4.5
4/11/19,R,4
4/26/19,B,4.1
4/26/19,E,3.9
4/26/19,F,4.25
4/26/19,P,3.4
4/26/19,R,3.4
5/13/19,B,2.75
5/13/19,E,2.5
5/13/19,F,3
5/13/19,P,2.75
5/13/19,R,2.5
5/29/19,B,1.75
5/29/19,E,1.5
5/29/19,F,1.5
5/29/19,P,2
5/29/19,R,2.1
6/10/19,A,2.1
6/10/19,B,2.1
6/10/19,C,2
6/10/19,D,2.5
6/10/19,E,1.8
6/10/19,F,1.9
6/11/19,I,1.8
6/11/19,J,1.9
6/11/19,K,1.7
6/11/19,L,1.9
6/11/19,M,1.6
6/11/19,R,1.25
6/12/19,G,2.3
6/12/19,H,2.15
6/12/19,N,2.25
6/12/19,O,2.1
6/12/19,P,2
6/12/19,Q,2
7/1/19,B,3
7/1/19,E,3.4
7/1/19,F,3.5
7/1/19,P,3.2
7/1/19,R,3
7/16/19,B,2
7/16/19,E,2
7/16/19,F,2
7/16/19,P,2
7/16/19,R,2.5
8/1/19,B,2
8/1/19,E,2.75
8/1/19,F,2.6
8/1/19,P,2.6
8/1/19,R,3.5
8/26/19,B,2.5
8/26/19,E,3
8/26/19,F,3
8/26/19,P,3
8/26/19,R,3.5
9/10/19,B,2
9/10/19,E,2.5
9/10/19,F,1.9
9/10/19,P,2.5
9/10/19,R,2.7
9/26/19,B,2
9/26/19,E,2.5
9/26/19,F,2.75
9/26/19,P,2.5
9/26/19,R,2.5
10/11/19,B,2.5
10/11/19,E,2.5
10/11/19,F,2.75
10/11/19,P,3
10/11/19,R,3
10/28/19,B,1.5
10/28/19,E,2.5
10/28/19,F,2.1
10/28/19,P,2
10/28/19,R,2.5
