"","date","location","est_secchi_stringent","mission"
"1","1985-03-28","E",3.55866050720215,"LANDSAT_5"
"2","1985-03-28","H",3.4094614982605,"LANDSAT_5"
"3","1985-03-28","K",3.88885498046875,"LANDSAT_5"
"4","1985-03-28","L",4.32799243927002,"LANDSAT_5"
"5","1985-03-28","M",3.94316625595093,"LANDSAT_5"
"6","1985-03-28","O",3.51972413063049,"LANDSAT_5"
"7","1985-03-28","P",4.53725671768188,"LANDSAT_5"
"8","1985-03-28","R",3.68023300170898,"LANDSAT_5"
"9","1985-04-13","B",3.82757019996643,"LANDSAT_5"
"10","1985-04-13","C",3.92579531669617,"LANDSAT_5"
"11","1985-04-13","D",3.09799909591675,"LANDSAT_5"
"12","1985-04-13","E",3.98704147338867,"LANDSAT_5"
"13","1985-04-13","F",3.68106341362,"LANDSAT_5"
"14","1985-04-13","G",3.86115908622742,"LANDSAT_5"
"15","1985-04-13","I",3.52871155738831,"LANDSAT_5"
"16","1985-04-13","J",3.43128943443298,"LANDSAT_5"
"17","1985-04-13","K",3.77696371078491,"LANDSAT_5"
"18","1985-04-13","L",3.63029623031616,"LANDSAT_5"
"19","1985-04-13","M",3.49790596961975,"LANDSAT_5"
"20","1985-04-13","P",3.61634826660156,"LANDSAT_5"
"21","1985-04-13","R",3.72489881515503,"LANDSAT_5"
"22","1986-03-15","A",3.33686208724976,"LANDSAT_5"
"23","1986-03-15","B",3.53176736831665,"LANDSAT_5"
"24","1986-03-15","C",3.42084264755249,"LANDSAT_5"
"25","1986-03-15","D",3.53628492355347,"LANDSAT_5"
"26","1986-03-15","E",3.22225570678711,"LANDSAT_5"
"27","1986-03-15","F",3.44178819656372,"LANDSAT_5"
"28","1986-03-15","G",3.53628492355347,"LANDSAT_5"
"29","1986-03-15","H",3.34833192825317,"LANDSAT_5"
"30","1986-03-15","I",3.42207050323486,"LANDSAT_5"
"31","1986-03-15","J",3.72808218002319,"LANDSAT_5"
"32","1986-03-15","K",3.58085870742798,"LANDSAT_5"
"33","1986-03-15","L",3.75998735427856,"LANDSAT_5"
"34","1986-03-15","M",3.60046482086182,"LANDSAT_5"
"35","1986-03-15","N",3.4509391784668,"LANDSAT_5"
"36","1986-03-15","O",3.16967439651489,"LANDSAT_5"
"37","1986-03-15","P",3.39381217956543,"LANDSAT_5"
"38","1986-03-15","Q",3.58381509780884,"LANDSAT_5"
"39","1986-03-15","R",3.83145618438721,"LANDSAT_5"
"40","1986-03-31","A",3.77844715118408,"LANDSAT_5"
"41","1986-03-31","B",3.82642650604248,"LANDSAT_5"
"42","1986-03-31","C",3.68203401565552,"LANDSAT_5"
"43","1986-03-31","D",3.68846416473389,"LANDSAT_5"
"44","1986-03-31","E",3.89691400527954,"LANDSAT_5"
"45","1986-03-31","F",3.90538120269775,"LANDSAT_5"
"46","1986-03-31","G",3.8350715637207,"LANDSAT_5"
"47","1986-03-31","H",3.92111349105835,"LANDSAT_5"
"48","1986-03-31","I",3.83423233032227,"LANDSAT_5"
"49","1986-03-31","K",4.11384868621826,"LANDSAT_5"
"50","1986-03-31","L",3.71820116043091,"LANDSAT_5"
"51","1986-03-31","M",3.50476598739624,"LANDSAT_5"
"52","1986-03-31","N",3.27660989761353,"LANDSAT_5"
"53","1986-03-31","R",3.99001932144165,"LANDSAT_5"
"54","1986-05-02","A",2.88902997970581,"LANDSAT_5"
"55","1986-05-02","B",2.67353653907776,"LANDSAT_5"
"56","1986-05-02","C",2.75015735626221,"LANDSAT_5"
