med_Aerosol,med_Blue,med_Green,med_Red,med_Nir,med_Swir1,med_Swir2,med_SurfaceTemp,med_temp_qa,min_Aerosol,min_Blue,min_Green,min_Red,min_Nir,min_Swir1,min_Swir2,min_SurfaceTemp,min_temp_qa,max_Aerosol,max_Blue,max_Green,max_Red,max_Nir,max_Swir1,max_Swir2,max_SurfaceTemp,max_temp_qa,Q1_Aerosol,Q1_Blue,Q1_Green,Q1_Red,Q1_Nir,Q1_Swir1,Q1_Swir2,Q1_SurfaceTemp,Q3_Aerosol,Q3_Blue,Q3_Green,Q3_Red,Q3_Nir,Q3_Swir1,Q3_Swir2,Q3_SurfaceTemp,sd_Aerosol,sd_Blue,sd_Green,sd_Red,sd_Nir,sd_Swir1,sd_Swir2,sd_SurfaceTemp,sd_temp_qa,kurt_SurfaceTemp,prop_clouds,prop_medHighAero,prop_hillShadow,pCount_dswe1,pCount_dswe3,min_cloud_dist,mean_cloud_dist,system:index
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.0,1.0,0,13,,,1_LC08_018050_20180102_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,128.0,1.0,0,0,,,1_LC08_018050_20180102_2
0.0044349999999999945,0.008587499999999998,0.019119999999999998,0.0023999999999999855,0.0036650000000000016,0.007459999999999994,0.007872500000000004,296.51148914,619.0,6.12499999999988E-4,0.0031424999999999925,0.008752499999999996,-0.0028799999999999937,0.0010799999999999976,0.005122500000000002,0.005892499999999995,296.41236656,574,0.010704999999999992,0.015435000000000004,0.028167499999999984,0.011254999999999987,0.012987499999999985,0.018020000000000008,0.014747499999999997,296.59352162,657,0.002207500000000001,0.0065800000000000025,0.014114999999999989,4.4749999999998957E-4,0.0031424999999999925,0.005782499999999996,0.006607499999999988,296.47730894,0.005314999999999986,0.010072499999999984,0.021127499999999994,0.0039124999999999854,0.005149999999999988,0.008807499999999996,0.008669999999999983,296.5559234,0.0026050454272439345,0.003301576248646026,0.0052963204400868335,0.0034717755803438835,0.002916955393872395,0.003478400911696976,0.0023179703362191336,0.04932171131198779,24.896884850989867,-0.8791669832796045,0.0,128.0,1.0,21,0,9,16.523809523809526,1_LC08_018050_20180102_3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.0,1.0,0,18,,,1_LC08_018050_20180102_4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180102_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180102_6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.0,1.0,0,15,,,1_LC08_018050_20180102_7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,122.66666666666667,1.0,0,0,,,1_LC08_018050_20180102_8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,128.0,1.0,0,0,,,1_LC08_018050_20180102_9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.0,1.0,0,21,,,1_LC08_018050_20180102_10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180102_11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180102_12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,112.64,1.0,0,0,,,1_LC08_018050_20180102_13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.0,1.0,0,14,,,1_LC08_018050_20180102_14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,108.3076923076923,1.0,0,0,,,1_LC08_018050_20180102_15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180102_16
0.007404999999999995,0.008436250000000006,0.009137499999999993,2.412499999999984E-4,0.003843749999999993,0.005356249999999993,0.0063600000000000045,295.51684532,607.0,0.0015475000000000072,0.0025924999999999976,0.005479999999999985,-0.0036225000000000007,-0.0018075000000000174,0.0024824999999999986,0.0039124999999999854,295.44164888,566,0.011557499999999998,0.011364999999999986,0.012602499999999989,0.004242499999999982,0.007707500000000006,0.00883500000000001,0.009000000000000008,295.6159679,643,0.0053425,0.006359999999999991,0.006511249999999996,-0.0020000000000000157,5.849999999999883E-4,0.003719999999999987,0.004833749999999998,295.50488225,0.009728749999999994,0.010086249999999991,0.011282499999999987,0.0023037499999999933,0.006786249999999994,0.006978750000000006,0.008216249999999994,295.5646976,0.0026650336939415503,0.0023466514904803035,0.0024330210000169327,0.002443973055676964,0.0031687784145668857,0.0019047837021952,0.001728043934581453,0.046456711283857866,24.57060934836578,-0.582311543032064,0.0,128.0,1.0,16,0,12,19.4375,1_LC08_018050_20180102_17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180102_18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,54.15384615384615,1.0,0,0,,,1_LC08_018050_20180118_6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,72.34782608695652,1.0,0,0,,,1_LC08_018050_20180118_10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,46.08,1.0,0,0,,,1_LC08_018050_20180118_13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180118_18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180203_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,102.4,1.0,0,0,,,1_LC08_018050_20180203_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180203_3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,104.29629629629629,1.0,0,0,,,1_LC08_018050_20180203_4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180203_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180203_6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,87.04,1.0,0,0,,,1_LC08_018050_20180203_7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180203_8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,117.76,1.0,0,0,,,1_LC08_018050_20180203_9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180203_10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180203_11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,108.3076923076923,1.0,0,0,,,1_LC08_018050_20180203_12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,122.88,1.0,0,0,,,1_LC08_018050_20180203_13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7307692307692307,128.0,1.0,0,0,,,1_LC08_018050_20180203_14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,118.15384615384616,1.0,0,0,,,1_LC08_018050_20180203_15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,1.0,0,0,,,1_LC08_018050_20180203_16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,117.33333333333333,1.0,0,0,,,1_LC08_018050_20180203_17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,117.33333333333333,1.0,0,0,,,1_LC08_018050_20180203_18
-2.1250000000000435E-4,0.006332499999999991,0.0173875,0.002207500000000001,0.0019599999999999895,0.003857499999999986,0.0033350000000000046,297.63601772,488.0,-0.0020550000000000013,0.00341749999999999,0.011419999999999986,0.0010249999999999981,-1.8499999999999073E-4,0.002674999999999983,0.0028950000000000087,297.61209157999997,450,0.0012449999999999961,0.00795499999999999,0.021842499999999987,0.002950000000000008,0.0049849999999999894,0.005094999999999988,0.004022499999999984,297.88553318000004,526,-5.700000000000149E-4,0.004352500000000009,0.012877499999999986,0.0018225000000000047,9.699999999999986E-4,0.003500000000000003,0.003170000000000006,297.62918168,3.100000000000047E-4,0.006937499999999985,0.021127499999999994,0.002564999999999984,0.002950000000000008,0.004352500000000009,0.0034724999999999895,297.6667799,6.919830633765536E-4,0.0013550669577552241,0.003823524682802509,5.448898604305266E-4,0.0013423128323904229,6.628027157457993E-4,2.6029821359355827E-4,0.06690719804778081,20.912235652842128,2.717761310157737,0.0,128.0,1.0,25,0,16,23.88,1_LC08_018050_20180219_1
